,mean,sem
pca_eigval_diff,0.027309776482575036,0.002484013090096712
pca_eigvec_ang,0.14880479808684413,0.028981792959136478
avg_h_dist,0.006164742371789521,0.00036612188891886653
corr_mat_diff,0.48597444149594116,0.030534395335580604
auroc,0.04115358975221937,0.0036557342843007486
cls_F1_diff,0.016082323480286168,0.0018186449642011244
cls_F1_diff_hout,0.025846210228366688,0.0019139961673487348
eps_identif_risk,0.44504504504504505,0.002822694424753161
priv_loss_eps,0.2647406026716371,0.003470083394365209
median_DCR,1.0768635171392695,0.007629212433233201
mia_recall,0.3632673267326732,0.006662172128041078
mia_precision,0.5052546981663766,0.0048133809341812505
time,32.83075532913208,0.21398185887187432
