,mean,sem
pca_eigval_diff,0.030211709327881826,0.002905075785438657
pca_eigvec_ang,0.09963538670283788,0.02315427740273646
avg_h_dist,0.005337641734087356,0.0002923886611642747
corr_mat_diff,1.640157886490207,0.17620280739762437
auroc,0.11602656487668225,0.026431332488179318
cls_F1_diff,0.11628644379163741,0.03400994053790034
cls_F1_diff_hout,0.12406056669960477,0.03467971503042908
eps_identif_risk,0.32127990059024547,0.02740787427912635
priv_loss_eps,0.1702081391736564,0.020267791090550852
median_DCR,3.701071509133513,0.5353862120408267
mia_recall,0.2352475247524753,0.040328412514099445
mia_precision,0.5450131406989054,0.0073120079272133084
