model,exp_name,data,degree,rep_idx,time,pca_eigval_diff,pca_eigvec_ang,avg_h_dist,corr_mat_diff,auroc,avg_F1_diff,avg_F1_diff_hout,eps_identif_risk,priv_loss_eps,mia_recall,mia_precision
synthpop,random_shuffle,al,0.1,2,12.053635597229004,0.02806984285775588,0.9576408047044718,0.004469151125401959,0.43919638501613106,-0.005748233678022019,-0.0571658197137517,-0.027388554555709682,0.5578824898196626,0.35776614310645727,0.5444444444444445,0.5233830613830615
synthpop,random_shuffle,al,0.1,3,11.398818492889404,0.021337022341170866,0.8203909211734791,0.004531901806089732,0.43661703937641944,-0.004113406600400715,-0.0666048411248032,-0.02443724659482807,0.5526468877254218,0.3478766724840024,0.5518518518518518,0.5223164841129038
synthpop,random_shuffle,al,0.1,1,11.282828092575073,0.02206522267590951,0.4975851655146103,0.0035813511216485645,0.42038352791098993,0.0028057050444135756,-0.058825471943469126,-0.030859896687247507,0.5584642233856894,0.3571844095404305,0.5111111111111111,0.5108656870173285
synthpop,random_shuffle,al,0.1,5,11.36309289932251,0.026322145423153667,0.7440086863739259,0.0036289314257502764,0.47508710502157026,-0.005743440220079443,-0.058226834369518865,-0.04011499190282536,0.566608493310064,0.37056428155904597,0.5296296296296296,0.5280888208720491
synthpop,random_shuffle,al,0.1,4,11.574636220932007,0.022839895836212896,0.9457877999330119,0.005092139807865869,0.4573142359021784,-0.0034735591989406567,-0.058476568622786856,-0.028985094544363627,0.5567190226876091,0.35660267597440376,0.5092592592592593,0.4885490211178928
synthpop,random_shuffle,al,0.1,0,11.590276718139648,0.020646345969617813,0.8093259241073139,0.003634272353202087,0.4663701104227531,-0.007116557811360669,-0.08046071975380123,-0.03432342010066078,0.5322862129144852,0.32926119837114604,0.4981481481481481,0.49632290133826107
synthpop,random_shuffle,al,0.1,6,7.617685317993164,0.02539604660339003,0.7494964929942676,0.0033050224929763706,0.47159491818240007,-0.007599605222564976,-0.06502356267682444,-0.03228520060723508,0.5625363583478766,0.3589296102385107,0.5259259259259259,0.5263000130025347
synthpop,random_shuffle,al,0.1,8,7.652361631393433,0.02487619301136311,0.7533379136116728,0.0040660301330017815,0.43331651581527186,-0.0002776504035720828,-0.05250012102293228,-0.01420600823698484,0.5660267597440373,0.36242001163467136,0.49074074074074076,0.491285105939302
synthpop,random_shuffle,al,0.1,7,7.738487720489502,0.02900310050492713,0.6551052527267415,0.0037453723010431855,0.4723522882550364,-0.0047284586738935985,-0.07056963606453001,-0.020841001273278564,0.5450843513670739,0.3461314717859221,0.5166666666666668,0.5251525597709474
synthpop,random_shuffle,al,0.1,9,8.245363235473633,0.02670005974786949,0.5104169402841984,0.0036367993145392887,0.43995012543804046,-0.0023737287859211254,-0.07241817567133799,-0.02416645775509621,0.5741710296684118,0.37579988365328676,0.5722222222222223,0.5333061261694745
synthpop,random_shuffle,al,0.25,1,7.988221168518066,0.025639304951018155,0.9951137651678185,0.004809395448430033,0.565164104017557,-0.020777201926100552,-0.10248386949127422,-0.063898387309277,0.5439208842350204,0.3420593368237348,0.5425925925925925,0.5345542530869004
synthpop,random_shuffle,al,0.25,0,7.8061439990997314,0.018323993591972964,0.8099595916636904,0.0032840794017002448,0.4734903837339732,-0.01450856405683465,-0.08499232857719113,-0.04305238943268347,0.5270506108202443,0.3251890634089587,0.4925925925925926,0.5173665130979158
synthpop,random_shuffle,al,0.25,2,7.355551481246948,0.023631404532665927,0.6592545680177005,0.0041121830223442984,0.4713322997235166,-0.004893843584473312,-0.0667600884837179,-0.024295882872036267,0.539848749272833,0.3403141361256544,0.5037037037037037,0.4856363865796095
