model,data,partitions,rep_idx,time,pca_eigval_diff,pca_eigvec_ang,avg_h_dist,corr_mat_diff,auroc,avg_F1_diff,avg_F1_diff_hout,eps_identif_risk,priv_loss_eps,mia_recall,mia_precision
synthpop,al,1,5,8.51696491241455,0.024223196931796708,0.37465652426041546,0.005343961051208411,0.39223254138957175,-0.0006175711927735028,-0.04110692360896548,-0.018360671919673915,0.5887143688190809,0.3868528214077953,0.537037037037037,0.543543751272465
synthpop,al,1,0,8.866909265518188,0.029149531334781275,0.6626673552954769,0.004581649517970826,0.4530336533097839,0.005106889873926601,-0.050323623172867066,-0.015554359543847512,0.5904595695171612,0.38510762070971494,0.5592592592592592,0.5277928084922959
synthpop,al,1,2,8.885830640792847,0.026973197281769865,0.5904944409078045,0.005800754841021739,0.4664303166524644,0.004052313725777967,-0.03456580190084474,-0.006703993918111301,0.5695171611401978,0.3717277486910995,0.5296296296296296,0.5314485738649554
synthpop,al,1,1,8.663006067276001,0.027317456514766938,0.6926141321677821,0.005913178740104959,0.43163716248733136,-0.00208164450226922,-0.03392387917009085,-0.008985162715453215,0.5695171611401978,0.36300174520069806,0.5111111111111112,0.5170580026882549
synthpop,al,1,3,8.685021877288818,0.028367544511862984,0.92932247057365,0.00419868512478357,0.4881161504272963,-0.009712532809063923,-0.03714620362816942,-0.0034542727436334686,0.566608493310064,0.3664921465968587,0.5185185185185185,0.5345019225285766
synthpop,al,1,4,9.187143087387085,0.02170674484711617,0.5113996007149396,0.003690070991880227,0.4200490448252037,-0.0033148894959385,-0.03779918545691674,-0.011243194789780392,0.5520651541593949,0.35660267597440365,0.5185185185185185,0.5023377570611205
synthpop,al,2,0,4.8854079246521,0.016083257112448558,0.8179753083759321,0.003423468503208014,0.5361546741086042,-0.11954001907860978,-0.178587016284894,-0.14895874024981728,0.5369400814426992,0.3391506689936009,0.5351851851851851,0.5282892788464759
synthpop,al,2,1,5.23153829574585,0.013807434193748925,0.7291319296421692,0.0051102098495989,0.47974621748850826,-0.1292970848727173,-0.19488973158697068,-0.19084667200879193,0.5177428737638162,0.3141361256544503,0.47407407407407404,0.5014027032951707
synthpop,al,1,6,8.379783868789673,0.024555888364634532,0.6077977211967218,0.003860245443711271,0.4398082865685006,-0.0014367953024579938,-0.03736663366021459,-0.008649291531083458,0.5578824898196626,0.35485747527632344,0.5092592592592593,0.519730680877811
synthpop,al,1,8,8.748351573944092,0.025155056669991006,0.7630521812202411,0.00500480408172303,0.4421959610407796,0.00046715396052876557,-0.03835960529732482,-0.015696065155617,0.5654450261780105,0.3635834787667249,0.5333333333333334,0.5184077922381778
synthpop,al,1,9,8.476689338684082,0.025704519113072043,0.4626894904052296,0.0048339049676708774,0.43746346127871544,-0.0021972913828380847,-0.036882117758369665,-0.013260537771791037,0.5549738219895288,0.35194880744618967,0.5685185185185185,0.5275398272471568
synthpop,al,1,7,8.784271240234375,0.029539625860640788,0.8457523746212645,0.0045719112573488286,0.4840900821398908,-0.00021985860051587647,-0.03504220755490131,-0.011589049484353964,0.568935427574171,0.3641652123327516,0.47407407407407404,0.4771164751224267
synthpop,al,2,2,4.901819467544556,0.012591416336628703,0.8077389312747959,0.00453733039212753,0.43437089773688187,-0.1112533004323939,-0.15801402145266732,-0.13263349059729126,0.5258871436881908,0.3286794648051192,0.5703703703703704,0.5422558442023476
