,mean,sem
pca_eigval_diff,0.02291672153883667,0.0016029353248750446
pca_eigvec_ang,0.5674291838464883,0.059137925926060715
avg_h_dist,0.011663294662011738,0.0006269032673294364
corr_mat_diff,0.7582017213149287,0.022863051772737255
auroc,0.012981334742698414,0.00738890818180254
avg_F1_diff,-0.06818892794677918,0.002968745230200332
avg_F1_diff_hout,0.008410340043306149,0.003326546827753384
eps_identif_risk,0.4974660633484162,0.006513392648004057
priv_loss_eps,0.29574660633484157,0.006055464133996794
median_DCR,0.9915130449995975,0.002511108937924061
mia_recall,0.34869565217391296,0.016735069322142783
mia_precision,0.5153641039595864,0.010284867867880038
