,mean,sem
pca_eigval_diff,0.026047759347199773,0.0018871201875930957
pca_eigvec_ang,0.410493703691201,0.06905954507370136
avg_h_dist,0.005880537981108391,0.00017085998995437814
corr_mat_diff,2.1566227282555372,0.02195779567019774
auroc,0.006126172859127426,0.013670391723800001
avg_F1_diff,-0.07142616961512419,0.0023572841782572573
avg_F1_diff_hout,-0.003413581634842404,0.0023540008311089267
eps_identif_risk,0.5272398190045249,0.0026886612313915155
priv_loss_eps,0.32497737556561085,0.0024486472245647886
median_DCR,1.0155985138975583,0.0027589040498656983
mia_recall,0.38927536231884063,0.007497111395001487
mia_precision,0.5144488678646344,0.01016531310208658
