,mean,sem
pca_eigval_diff,0.02387658061940843,0.0016542755359713506
pca_eigvec_ang,0.6673238891350387,0.07821595269447379
avg_h_dist,0.01398508843294973,0.000750841550646796
corr_mat_diff,0.7479058554077999,0.015588739099533094
auroc,0.024500482682300838,0.008875400189388013
avg_F1_diff,-0.07719023564351393,0.003680742740586562
avg_F1_diff_hout,0.0033085730879703996,0.003003350587346335
eps_identif_risk,0.48470588235294115,0.004925826576639564
priv_loss_eps,0.28624434389140274,0.00553616411502787
median_DCR,0.9883380592890811,0.004507276504790041
mia_recall,0.3304347826086956,0.008812950145693823
mia_precision,0.5187145838665358,0.007741855027197352
