,mean,sem
pca_eigval_diff,0.07691914462233865,0.004249622299364156
pca_eigvec_ang,0.8974115526474733,0.025680896390589274
avg_h_dist,0.10201235802649802,0.005283423845415961
corr_mat_diff,2.8836379867461788,0.08910695311730202
auroc,0.003008519258519293,0.011842223313071299
avg_F1_diff,-0.0836292977628138,0.005835049714071619
avg_F1_diff_hout,0.012649676567551787,0.00903885380705333
eps_identif_risk,0.2779185520361991,0.0065181410372884465
priv_loss_eps,0.1253393665158371,0.004977375565610861
median_DCR,1.6120004914724142,0.02042816398914118
mia_recall,0.022318840579710147,0.004364968888145514
mia_precision,0.4909163059163058,0.06550103136021868
