,mean,sem
pca_eigval_diff,0.07837184667331858,0.002197854302616812
pca_eigvec_ang,0.8458549452018852,0.05192133046024484
avg_h_dist,0.09755380418965429,0.003323796073131826
corr_mat_diff,2.8733769963615776,0.10071838674402714
auroc,0.013820837201519064,0.012540315258226927
avg_F1_diff,-0.10579916868464193,0.015127808848528816
avg_F1_diff_hout,-0.013120572015803317,0.012193919896221067
eps_identif_risk,0.2941176470588235,0.005694889673322091
priv_loss_eps,0.13683257918552036,0.004532522466604632
median_DCR,1.5505174075415353,0.02604294583924924
mia_recall,0.0263768115942029,0.002944879353454719
mia_precision,0.5105,0.048039367858013396
