,mean,sem
pca_eigval_diff,0.30452587512715285,0.015651211086895933
pca_eigvec_ang,0.8286338974148268,0.04129433721297217
avg_h_dist,0.17796006407183165,0.0049190717830054475
corr_mat_diff,2.7760356764341894,0.06959828846196026
auroc,0.0063324690881509495,0.012691561895154429
avg_F1_diff,-0.08659948597197437,0.016935663001373658
avg_F1_diff_hout,-0.0008292599951517585,0.0156480798292051
eps_identif_risk,0.1046153846153846,0.014757391325123822
priv_loss_eps,0.04425339366515837,0.007037714502197433
median_DCR,1.8177827110495337,0.04271621719184587
mia_recall,0.002898550724637681,0.0007484025789772786
mia_precision,0.17,0.04229525846816507
