,mean,sem
pca_eigval_diff,0.031427535654035846,0.0024309680366761395
pca_eigvec_ang,0.7977472469206094,0.054955861712786686
avg_h_dist,0.04558144323787572,0.0026679086092716436
corr_mat_diff,2.3518622849702266,0.0765340862134533
auroc,0.026004332367968775,0.01085779880020767
avg_F1_diff,-0.09387587444849312,0.012869708812885306
avg_F1_diff_hout,-0.0016529080081598355,0.009900920555745025
eps_identif_risk,0.4669683257918552,0.007908993728424588
priv_loss_eps,0.272579185520362,0.008369396384366738
median_DCR,1.1928585515537946,0.010583924583313328
mia_recall,0.1263768115942029,0.010371970550971703
mia_precision,0.47458066017005984,0.018318339762419613
