,mean,sem
pca_eigval_diff,0.10290506271416364,0.005276061893845237
pca_eigvec_ang,0.7696004289249737,0.049920799599233304
avg_h_dist,0.027199824273443352,0.002267786131352618
corr_mat_diff,1.87546941463544,0.11399306223230875
auroc,-0.03247980659912471,0.008495606894158373
avg_F1_diff,-0.08991473353183858,0.004268440163073822
avg_F1_diff_hout,-0.01230417594335766,0.0018267383576674233
eps_identif_risk,0.2509502262443439,0.01088822304935531
priv_loss_eps,0.11547511312217193,0.0068313637840354295
median_DCR,1.161592987566842,0.017593912659506564
mia_recall,0.16724637681159416,0.013533814485166107
mia_precision,0.5421471113767453,0.008007406335510671
