,mean,sem
pca_eigval_diff,0.27693946830749394,0.027208935902777842
pca_eigvec_ang,0.8538975781278474,0.05723112170443778
avg_h_dist,0.27321429578259243,0.004387829873992702
corr_mat_diff,2.677028622381048,0.02471176821563117
auroc,0.01444550964657335,0.011317830315148514
avg_F1_diff,-0.30393677882106557,0.013303768906005231
avg_F1_diff_hout,-0.21467256076527727,0.012995705869907906
eps_identif_risk,0.027239819004524886,0.00831118792639918
priv_loss_eps,0.009773755656108597,0.0040758602121398575
median_DCR,2.000273348934412,0.030656103308938337
mia_recall,0.0002898550724637681,0.00028985507246376816
mia_precision,0.02,0.019999999999999997
