,mean,sem
pca_eigval_diff,0.23051024879031817,0.018615999030961887
pca_eigvec_ang,0.8869707989039295,0.03483390136966031
avg_h_dist,0.21492413059107,0.006373348475431334
corr_mat_diff,2.5714088779224618,0.03416437482029532
auroc,0.02740201086792,0.015384755386724016
avg_F1_diff,-0.2641326793651205,0.035597353813898454
avg_F1_diff_hout,-0.17524681560433972,0.033753929837415986
eps_identif_risk,0.12407239819004523,0.012617467636989031
priv_loss_eps,0.059999999999999984,0.005919056317432766
median_DCR,1.6850749864359638,0.020397823602153285
mia_recall,0.004347826086956522,0.001163439089738386
mia_precision,0.21500000000000002,0.07380529941828176
