,mean,sem
pca_eigval_diff,0.25492431794770676,0.01926892070418922
pca_eigvec_ang,0.8853142068515236,0.036707406878688745
avg_h_dist,0.2624848906547264,0.007939090778230039
corr_mat_diff,2.6192344697158907,0.0202882354726665
auroc,-0.005801818131363557,0.01197438443940651
avg_F1_diff,-0.23974767480761577,0.0285467508880568
avg_F1_diff_hout,-0.16314600422300132,0.02849234806903749
eps_identif_risk,0.04796380090497738,0.011687880029656426
priv_loss_eps,0.020633484162895926,0.006055464133996792
median_DCR,1.9382534103876536,0.04310468784124807
mia_recall,0.0002898550724637681,0.0002898550724637681
mia_precision,0.02,0.019999999999999997
