,mean,sem
pca_eigval_diff,0.2539165423508568,0.010850336349205469
pca_eigvec_ang,0.7590396010132343,0.015729368597106004
avg_h_dist,0.15616644052246956,0.005971928461210425
corr_mat_diff,2.1451066765556477,0.02372466333325759
auroc,0.003001617490253883,0.013825715780274256
avg_F1_diff,-0.2387314053393262,0.03819175139225712
avg_F1_diff_hout,-0.1437307229974214,0.03233861792755915
eps_identif_risk,0.18009049773755656,0.022311358215249072
priv_loss_eps,0.09683257918552036,0.01373592827370051
median_DCR,1.338251142669604,0.027316699135831478
mia_recall,0.006376811594202898,0.0008422993127614827
mia_precision,0.29500000000000004,0.03841376425125006
