,mean,sem
pca_eigval_diff,0.022485733950721475,0.0019126437318554954
pca_eigvec_ang,0.4291709657904074,0.06444281752042291
avg_h_dist,0.005824150321903922,0.0003626489648425445
corr_mat_diff,0.3971881440902135,0.013880071900543167
auroc,-0.015671876524149215,0.008858522178465009
avg_F1_diff,-0.08264119569774786,0.0023808253759075877
avg_F1_diff_hout,-0.006652371715788788,0.0024933444097928166
eps_identif_risk,0.5613574660633482,0.003444862680665028
priv_loss_eps,0.3611764705882353,0.0028600403314983434
median_DCR,0.954179780264437,0.002042638974670971
mia_recall,0.5272463768115943,0.012615634716710374
mia_precision,0.5278193606313312,0.007894299646056552
