,mean,sem
pca_eigval_diff,0.060176462690426334,0.0016411257440908107
pca_eigvec_ang,0.6506178871872794,0.04763530891213991
avg_h_dist,0.05560526680868155,0.0016977749035170275
corr_mat_diff,2.5549184748216907,0.06043583517796194
auroc,0.011133941815760023,0.013570772130156217
avg_F1_diff,-0.07542291290720705,0.0036251655116726887
avg_F1_diff_hout,0.00031291706860066965,0.0025129957919019837
eps_identif_risk,0.35493212669683266,0.005122523691614444
priv_loss_eps,0.18253393665158374,0.0040942378466315875
median_DCR,1.4242444762365147,0.02833613993121691
mia_recall,0.04637681159420289,0.0067356232107955065
mia_precision,0.5254797979797979,0.026555421233551067
