,mean,sem
pca_eigval_diff,0.3079314480133724,0.019405273891246626
pca_eigvec_ang,0.5022707667754925,0.0494826489339653
avg_h_dist,0.1272541517328141,0.004629181934530939
corr_mat_diff,2.5093264358609284,0.01652736386334827
auroc,-0.026584861546982717,0.0076046862781974575
avg_F1_diff,-0.08338669575539692,0.004095362684135661
avg_F1_diff_hout,-0.00632688266613438,0.004910469141528765
eps_identif_risk,0.13158371040723982,0.02256974788430758
priv_loss_eps,0.07104072398190045,0.01384497081865287
median_DCR,1.7866366670762424,0.009112326281385988
mia_recall,0.0008695652173913044,0.00044276093671070916
mia_precision,0.06000000000000001,0.03055050463303894
