,mean,sem
pca_eigval_diff,0.013440972609194787,0.0011366154959134222
pca_eigvec_ang,0.6536735238141939,0.042462683457384555
avg_h_dist,0.0055893656351058175,0.00041402106963847905
corr_mat_diff,1.9876261733734495,0.025860372409700225
auroc,0.0058865539973495026,0.0076064875360401735
avg_F1_diff,-0.07380860249221535,0.00259361101259211
avg_F1_diff_hout,-0.0014705543883364064,0.0020983176849762937
eps_identif_risk,0.5262443438914027,0.0029931213687130324
priv_loss_eps,0.32371040723981903,0.0033046478359153022
median_DCR,1.065275075043481,0.004682220480273581
mia_recall,0.48782608695652174,0.0071268728911729525
mia_precision,0.5265352715207576,0.007001973947823916
