,mean,sem
pca_eigval_diff,0.0123327089322879,0.0005783846873603264
pca_eigvec_ang,0.5286214685659123,0.07375814179927798
avg_h_dist,0.00916693331855684,0.0006775462637132276
corr_mat_diff,0.45189717284048514,0.006943263182969348
auroc,-0.012758238709943215,0.009462449424984072
avg_F1_diff,-0.07260996312627813,0.002718978970841058
avg_F1_diff_hout,-0.005646171442839328,0.0018766310861777497
eps_identif_risk,0.4856108597285068,0.0028751137393529668
priv_loss_eps,0.2795475113122171,0.004145920314108677
median_DCR,0.9514063859979769,0.007254459897372766
mia_recall,0.49739130434782614,0.00824602446119879
mia_precision,0.5074130221897691,0.008377667531907503
