,mean,sem
pca_eigval_diff,0.02056412368806597,0.0015680274029043813
pca_eigvec_ang,0.5729140328330613,0.08049722667035272
avg_h_dist,0.017852469990964792,0.000918046324972972
corr_mat_diff,1.6205972815218221,0.03303121091421517
auroc,-0.016495985075530482,0.004905770894524785
avg_F1_diff,-0.07300638615947967,0.00252414748137914
avg_F1_diff_hout,-0.0033853967202399,0.002590214906029781
eps_identif_risk,0.5680542986425339,0.005376053118653082
priv_loss_eps,0.3599095022624434,0.005638766778199114
median_DCR,0.9420099518294498,0.004473557122862694
mia_recall,0.16173913043478255,0.004865576159232533
mia_precision,0.5125037928973755,0.01012104557641385
