dataset,pca_eigval_diff,pca_eigvec_ang,avg_h_dist,corr_mat_diff,auroc,avg_F1_diff,avg_F1_diff_hout,eps_identif_risk,priv_loss_eps,median_DCR,mia_recall,mia_precision
tabdiff,0.031031494416667978,0.010939357609215375,0.008317969294877344,0.4593889853311406,-0.0060338498736838275,-0.07844045757474255,-0.03940472448941559,0.5113389251320286,0.3224603914259087,1.059157128767924,0.4861386138613861,0.5019463755658313
tabdiff,0.019798821644946372,0.15849000074830813,0.006434265607792854,0.5656496261603869,-0.017527164291514463,-0.11361917334425228,-0.04276205689185186,0.48710779745262506,0.3000931966449208,1.0941785248807054,0.48217821782178216,0.5002997567877051
tabdiff,0.011793521681518048,0.055970000186666,0.009138219308263808,0.450878419538409,-0.009117051188288317,-0.08378693708718657,-0.028296433495838963,0.5048151599875738,0.3134513824168996,1.028483317667865,0.504950495049505,0.5274953419241558
tabdiff,0.01671657067552759,0.05496698210578065,0.006402271251138722,0.6124324164245731,-0.04545559199091764,-0.09485975368939856,-0.05080286310839585,0.4796520658589624,0.29605467536502017,1.0974309745168365,0.48217821782178216,0.5077241686025494
tabdiff,0.017275783988765017,0.03597308236006716,0.007269237468892769,0.5323189263260693,-0.00035728338488327793,-0.07552119554277059,-0.02107685838709772,0.516309412861137,0.32059645852749297,1.0443569909741515,0.5079207920792079,0.5080851025639609
tabdiff,0.021451453255014807,0.11287454101960727,0.0074183232235788925,0.3112180981185225,-0.024734258355199934,-0.0814596566955306,-0.05001918807078648,0.5125815470643057,0.3199751475613545,1.0297928929321467,0.4871287128712871,0.50589909107685
tabdiff,0.006760252217848559,0.06886819610984787,0.006183068107033519,0.47597816630141304,-0.0034007174687468167,-0.09172020995473432,-0.05614344783970404,0.4976700838769804,0.3075489282385834,1.0177261399996305,0.4752475247524752,0.5203437673760385
tabdiff,0.01398945168013871,0.078652873301569,0.006445639987764608,0.547664273888432,-0.004989135579852477,-0.0602748613454695,-0.03846947040039114,0.5100963031997515,0.32152842497670087,1.025466685104489,0.5178217821782178,0.5308757241684665
tabdiff,0.01099365452056406,0.12513696073613864,0.006010690290626607,0.20878033751852657,-0.016964251996531066,-0.05223644354278131,-0.030602580830039416,0.5284249767008388,0.3364398881640261,0.9931951520997853,0.5108910891089109,0.5200435438690503
tabdiff,0.014075388370653686,0.09633626502710295,0.0048540085228960155,0.5444872115149542,-0.027527505621707027,-0.045647691596816975,0.0033348360586060166,0.5079217148182665,0.3196644920782852,1.0260167022619067,0.5198019801980198,0.5394128925397921
dpgan,0.23720853349675428,0.03682172463099067,0.47275407263298785,3.1059594390589393,-0.4119717171339121,-0.5806723559085576,-0.4569691931947826,0.0006213109661385523,0.0,22.886865033583337,0.0029702970297029703,0.3333333333333333
dpgan,0.42807652805457835,0.9687612147461085,0.5427475572366871,2.896868765290243,-0.4424398791702539,-0.6568014723008861,-0.5163465991393611,0.0,0.0,20.276917383192057,0.0029702970297029703,0.3333333333333333
dpgan,0.1973477720980547,0.09662107179721263,0.47909240962498423,2.8197875120181637,-0.41431244761137026,-0.6597367218328744,-0.5779969269995933,0.00031065548306927616,0.00031065548306927616,18.267026872235025,0.0009900990099009901,0.2
dpgan,0.07399497633728803,0.8226575336624531,0.42262364577272,3.0925009844828244,-0.19925748729208792,-0.6597367218328744,-0.5763897890171514,0.0012426219322771047,0.0,17.22897214263303,0.0009900990099009901,0.2
dpgan,0.09055412459469449,0.8973458298250959,0.5311683383343475,2.9406357363932063,-0.379537929087962,-0.659636402179481,-0.5779969269995933,0.00031065548306927616,0.00031065548306927616,17.909572057703254,0.0009900990099009901,0.2
dpgan,0.10943280443521472,0.7803867738568784,0.5489248801601379,2.8908654687506914,-0.2626262442583983,-0.573050241183621,-0.33361233663511836,0.0009319664492078285,0.0009319664492078285,22.028429206668168,0.0019801980198019802,0.4
dpgan,0.30197136055032214,0.9603603807145095,0.5262814874482573,2.867699422677738,-0.3563907469056551,-0.5240593344123903,-0.5779969269995933,0.0006213109661385523,0.0006213109661385523,23.432008192806176,0.0,0.0
dpgan,0.19305079277266884,0.8861587032745343,0.37029578868599955,2.915422777109669,-0.4446022498396974,-0.6552984703968725,-0.5774240587757851,0.0006213109661385523,-0.0006213109661385523,21.429605040918382,0.0,0.0
dgms,0.17089189301028268,0.9594985101867132,0.2815357215658895,2.3027826784742604,-0.046937830610643605,-0.11012909474596427,-0.016414601175871263,0.007455731593662628,0.0027958993476234857,14.084029260912775,0.0019801980198019802,0.26666666666666666
dgms,0.06593719996635075,0.8224103856058066,0.2789761048318,2.3904859790542767,-0.06312191395519007,-0.16243756731005454,-0.09086779070159998,0.006834420627524076,0.0003106554830692764,12.988995425950433,0.006930693069306932,0.5533333333333333
dpgan,0.04926717685029418,0.9598539880591125,0.46701893790391735,3.022731931059291,-0.16497120283644162,-0.615091224107966,-0.48636718743331825,0.0012426219322771047,0.0006213109661385523,16.44482114310489,0.0009900990099009901,0.06666666666666667
dpgan,0.11584780775576303,0.9965017570478877,0.44982983188411074,2.969139950030692,-0.2814757067480683,-0.6592539940983347,-0.5779969269995933,0.0012426219322771047,0.0012426219322771047,18.738857643312315,0.0039603960396039604,0.5333333333333333
dgms,0.11742279395506615,0.8202280361121899,0.30859097395318674,2.5811413137014423,-0.08271199792872885,-0.1850219948854456,-0.08411303997342379,0.006834420627524076,0.003106554830692762,16.346022251422863,0.0039603960396039604,0.4333333333333333
dgms,0.058851745959736815,0.9237132674128085,0.2649954302792,2.6908824022763147,-0.04849944418034058,-0.17272113354607382,-0.08599416608802797,0.007766387076731904,0.004349176762969866,14.710321773397832,0.0019801980198019802,0.4
dgms,0.11211812939954933,0.23574984605080807,0.26416241537128116,2.342790735535249,-0.05877084092249074,-0.13276623814976737,-0.08895028121109813,0.010251630941286114,0.00248524386455421,13.529569657223519,0.0019801980198019802,0.13333333333333333
dgms,0.1316855391144227,0.7235539022931197,0.3078046542189192,2.6381871750681616,-0.04212775892403675,-0.18629345708616488,-0.1278104289157741,0.004659832246039142,0.0006213109661385519,16.095638853835503,0.0,0.0
dgms,0.10644113592802579,0.8448518003865697,0.2982302067263749,2.397619817642541,-0.036435190676596285,-0.13264573148229067,-0.07308641454690765,0.00807704255980118,0.0024852438645542093,13.519541085279604,0.0009900990099009901,0.06666666666666667
dgms,0.06513186414653915,0.9119182357277031,0.3001015279998157,2.362957539062908,-0.05349255752609949,-0.09877313136355992,-0.011413601843025006,0.009630319975147562,0.0049704877291084195,14.440350193920017,0.0009900990099009901,0.1
dgms,0.05193689939302851,0.8965499389801705,0.27311839547249794,2.4414585454487696,-0.04943884798636744,-0.0802156985067903,-0.037806954349055094,0.006834420627524076,0.0027958993476234857,14.068281623926772,0.0009900990099009901,0.1
dgms,0.09747762769991802,0.39916340094237956,0.29080688417691636,2.6251719086896332,-0.04524631069826013,-0.18765406987392402,-0.15460725568253691,0.003727865796831314,0.00031065548306927595,14.953600597136038,0.005940594059405941,0.4333333333333333
