dataset,pca_eigval_diff,pca_eigvec_ang,avg_h_dist,corr_mat_diff,auroc,avg_F1_diff,avg_F1_diff_hout,eps_identif_risk,priv_loss_eps,median_DCR,mia_recall,mia_precision
dpgan,0.2293211069350084,0.7958889666463614,0.1470403818741584,1.959021090322069,-0.3011058823529412,-0.4263060337037733,-0.4355783401127835,0.06198347107438017,0.024793388429752067,2.0870337309590306,0.0375,0.4
dpgan,0.11907345731240708,0.8409178547327913,0.21332928458157957,1.7803910382308745,-0.19131764705882348,-0.31930204119623184,-0.28050238339315803,0.128099173553719,0.08264462809917354,1.918323854325584,0.0625,0.4333333333333333
dpgan,0.11721297921946655,0.7612123193155337,0.16619200289184624,1.8904006341980482,-0.40211764705882347,-0.4504285888848052,-0.4659562038483253,0.0743801652892562,0.03305785123966942,2.104748314991862,0.0375,0.44000000000000006
dpgan,0.1874017604873211,0.7628850065276662,0.20029201955877118,1.7004845309524177,-0.7417882352941176,-0.5430759296486765,-0.5259214934460412,0.0371900826446281,0.0,2.1610118217805248,0.0,0.0
dpgan,0.14732216642115054,0.6683041177159736,0.1979241758291454,1.6739861790665633,-0.5393490196078432,-0.4710785652132717,-0.38083659451935625,0.028925619834710745,-0.008264462809917356,2.087406225851331,0.025,0.4
dpgan,0.0988982430580776,0.6607150124719798,0.18832980147181397,1.626528984450191,-0.14294117647058824,-0.2814127574276382,-0.15871064642112978,0.08677685950413223,0.049586776859504134,2.0244834564116916,0.0,0.0
dpgan,0.06059955252323926,0.9084511709486222,0.16454989567406414,2.1620734276121456,-0.3179294117647058,-0.4810628258258335,-0.4775785930214582,0.06198347107438017,0.04132231404958678,1.9282340002030747,0.1125,0.6666666666666666
dpgan,0.260186851108106,0.7848746015270723,0.15784974774409205,1.811304946520416,-0.3104941176470589,-0.523841029800028,-0.5230460447263412,0.05785123966942149,0.03305785123966942,1.9156329171088833,0.0,0.0
dpgan,0.12883792332776267,0.8754562289566091,0.1545638495968486,1.6864151976366557,-0.39861176470588233,-0.439063990588477,-0.4517815575154118,0.08264462809917356,0.04132231404958678,2.0222678423611287,0.0375,0.2
dpgan,0.19907416373798115,0.7722527665992194,0.20908987199872156,1.647679094997304,-0.3691058823529412,-0.5163262146180346,-0.34133731325231376,0.07851239669421488,0.028925619834710745,1.9879860700228287,0.025,0.16666666666666666
