dataset,pca_eigval_diff,pca_eigvec_ang,avg_h_dist,corr_mat_diff,auroc,avg_F1_diff,avg_F1_diff_hout,eps_identif_risk,priv_loss_eps,median_DCR,mia_recall,mia_precision
dpgan,0.24335141203246333,0.5138092380259974,0.25823736907660494,2.751682844774888,0.026875523466432627,-0.348374761758624,-0.25257890057471966,0.004524886877828055,-0.0018099547511312214,1.9004812641494855,0.0,0.0
dpgan,0.30830992062234147,0.9666493928156357,0.25828277341377476,2.6636870272918505,0.015811230015775446,-0.2939051120451668,-0.21212799016070827,0.048868778280542986,0.02986425339366516,1.9147775255122648,0.002898550724637681,0.2
dpgan,0.270310995005796,0.9824835309935936,0.2767794041490133,2.720815073687233,-0.05986540816086261,-0.3483421358690123,-0.2533099489607235,0.012669683257918552,0.008144796380090497,1.893998566811135,0.005797101449275362,0.2
dpgan,0.30865786583823485,0.5782349940019053,0.2646021387830323,2.714433594556606,0.002861364225000662,-0.3424633576198512,-0.23284689802872943,0.00904977375565611,0.0027149321266968333,2.1994969375755495,0.008695652173913044,0.4
dpgan,0.2978760247320627,0.9604730490217075,0.32219465361552435,2.976748081695956,-0.018524047501320196,-0.34718182921557206,-0.2505793381816718,0.019004524886877826,0.0072398190045248854,1.7949159326161188,0.0,0.0
dpgan,0.21474505251012527,0.9480365115284696,0.2594634436027689,2.5959384091486437,-0.03102190318099396,-0.3312200378036734,-0.25187511029302595,0.02081447963800905,0.009954751131221719,2.0282575936498195,0.008695652173913044,0.4
dpgan,0.2697399463895144,0.4234841260683447,0.28574805419809624,2.6597570464904217,0.008502755661846606,-0.34767633271879306,-0.2533099489607235,0.0018099547511312218,0.0009049773755656109,1.949647615124512,0.008695652173913044,0.4
dpgan,0.24167870159634763,0.7648504946525939,0.29128673290832113,2.733663198549057,0.03626665842574939,-0.33505150506893183,-0.24991867115013847,0.02171945701357466,0.004524886877828052,1.786742793704683,0.002898550724637681,0.2
dpgan,0.23596352480838714,0.7363149713667817,0.2934128314579946,2.853728849604299,0.09415063051426686,-0.3323180381276355,-0.24409364957374166,0.03257918552036199,0.005429864253393667,1.7248834375477833,0.0,0.0
dpgan,0.1818963213406599,0.66556626263581,0.27649936626414373,2.8700837515666455,-0.02187477926114284,-0.3154202733555658,-0.19390705166267225,0.039819004524886875,0.02081447963800905,1.660264605867406,0.0,0.0
tabdiff,0.013617522261260126,0.6046455477358409,0.00919815785044702,0.46444498788569055,-0.007097931529749579,-0.06833005317602313,-0.007522527025664583,0.4751131221719457,0.269683257918552,0.9519578082220076,0.4579710144927536,0.5013696004717676
tabdiff,0.012073608058109538,0.4836399441264726,0.013239945970848781,0.4081861291992229,0.014908518459654907,-0.07028217713587856,-0.00460266298143075,0.48868778280542985,0.2823529411764706,0.9395869409478882,0.5072463768115942,0.5149659687724756
tabdiff,0.011566661533235646,0.22441379113264923,0.009645397221458225,0.4268021142723267,-0.015989650080559137,-0.08640840256765982,-0.003596174429196866,0.47149321266968325,0.2624434389140271,0.934843953431809,0.4492753623188405,0.4771164504213804
tabdiff,0.0136823434988569,0.29254967853196034,0.008914244548803648,0.4551955911591853,0.024056856443220087,-0.06581325889062702,-0.0065997230372639715,0.49411764705882355,0.2868778280542986,0.9550557391140077,0.536231884057971,0.5135948182054739
tabdiff,0.01341462038712752,0.47962838864694857,0.011441154500040221,0.454109456643719,-0.06726619340255702,-0.07433199876796025,-0.008650669541178602,0.5013574660633484,0.3040723981900453,0.9205742223007932,0.5072463768115941,0.5199537934546289
tabdiff,0.011330151154198496,0.5817494232753453,0.006832874898859375,0.46132079640610846,-0.0018223569359932523,-0.08114056267134472,0.007889020268178948,0.49049773755656106,0.28778280542986423,0.9612044830504671,0.5420289855072464,0.536767060957607
tabdiff,0.009707465044360312,0.8889179932980118,0.00790633367301451,0.47568732152388704,-0.039329042169951256,-0.06566160477422356,-0.006534004542436564,0.4841628959276018,0.285972850678733,0.9407971481091894,0.5159420289855071,0.5042714402714403
tabdiff,0.010004729381009901,0.4621799668585921,0.008501874579555936,0.47339431321754855,-0.04131495608768332,-0.0580893885653556,-0.0041609493697910005,0.48687782805429863,0.2841628959276018,0.986403720289814,0.5391304347826088,0.5058724213432246
tabdiff,0.015720786942975875,0.34117083596445935,0.005869432203078914,0.43409770708866785,0.022855006945916023,-0.07561236677600656,-0.006487742626370516,0.48687782805429863,0.2660633484162896,0.9910426345091018,0.4666666666666667,0.48260315433274165
tabdiff,0.012209201061744649,0.9273191160888431,0.010119917739461777,0.465733311008495,-0.016582638741729605,-0.08042981793770204,-0.01619628114323937,0.47692307692307695,0.26606334841628965,0.9325972100046904,0.45507246376811594,0.4772815580290268
dgms,0.2600066663899869,0.5493750973866959,0.1658769524317308,2.111011621829338,-0.04858933154387696,-0.06002071149773383,-0.003063144507523624,0.17375565610859728,0.08687782805429864,1.6621987636938664,0.011594202898550725,0.16
dgms,0.2975702524186915,0.7196455254229279,0.1395007291564478,2.214949137267324,-0.07897092385728749,-0.07137394177793355,0.011176753472275439,0.13755656108597286,0.060633484162895934,1.7083511419116357,0.008695652173913044,0.5
