,mean,sem
pca_eigval_diff,0.049733986706497216,0.007046604458051404
pca_eigvec_ang,0.38229100439128433,0.11391494958549755
avg_h_dist,0.02250248114662141,0.0010039269422045807
corr_mat_diff,1.0287253758670225,0.009473884982246147
auroc,0.02979338014315993,0.00471120506070526
cls_F1_diff,0.05465890167206798,0.003906797159821287
cls_F1_diff_hout,0.05409091445316404,0.00404255593038412
eps_identif_risk,0.3499534016775396,0.007579434982522906
priv_loss_eps,0.18890959925442682,0.005369429376850884
median_DCR,1.3691346849503947,0.04162042487483882
mia_recall,0.2451485148514852,0.012481357750678301
mia_precision,0.5156309552843564,0.008834488364454156
