,mean,sem
pca_eigval_diff,0.035705284312824444,0.0021907566997797726
pca_eigvec_ang,0.17980737947248626,0.04186388497419628
avg_h_dist,0.005753896671364183,0.00033357887719361485
corr_mat_diff,2.328768562474761,0.07376193128552262
auroc,0.10503629024946186,0.029214940199261696
cls_F1_diff,0.10984315986125368,0.035947635383025256
cls_F1_diff_hout,0.11270837165186229,0.03393805635086219
eps_identif_risk,0.18881640260950605,0.012648744485524147
priv_loss_eps,0.07701149425287358,0.008202775527792075
median_DCR,4.960123711551407,0.42402941599644944
mia_recall,0.11069306930693071,0.01263798030193262
mia_precision,0.5316006127393764,0.00933619373273062
time,19.082588505744933,0.13179632006812173
