,mean,sem
pca_eigval_diff,0.011079032265788285,0.0012189611297635779
pca_eigvec_ang,0.11227189539472837,0.026776562109124363
avg_h_dist,0.0057531477191488005,0.00027111806405134695
corr_mat_diff,0.15433438129301902,0.005937721422053412
auroc,0.01614027332859641,0.0022592448325813117
cls_F1_diff,0.008289843887986897,0.0005193323399296771
cls_F1_diff_hout,0.011933124674562978,0.0016402025738736668
eps_identif_risk,0.592668530599565,0.001977704365188427
priv_loss_eps,0.4011804908356632,0.0018571320940078445
median_DCR,0.8983470982364044,0.006073515306494009
mia_recall,0.533960396039604,0.0040015736102370705
mia_precision,0.5342262316897569,0.0026369961048432074
