,mean,sem
pca_eigval_diff,0.02319698115402085,0.002175471386465869
pca_eigvec_ang,0.6188429441349749,0.04701823662052679
avg_h_dist,0.012912529703365242,0.0006064717868272968
corr_mat_diff,0.7117588836672578,0.02630018089571096
auroc,0.03221186326299966,0.00791074222733163
cls_F1_diff,0.02374275284949166,0.0025093173809435255
cls_F1_diff_hout,0.021590644856857653,0.00247407390096954
eps_identif_risk,0.4900452488687783,0.002953333732503298
priv_loss_eps,0.2893212669683257,0.003439575496702291
median_DCR,0.9836804950115683,0.002415462588419563
mia_recall,0.34637681159420297,0.00748714348446739
mia_precision,0.5036355319568031,0.007172989061756514
