,mean,sem
pca_eigval_diff,0.04761897272585446,0.0021026476451899267
pca_eigvec_ang,0.5948393151472617,0.07177377009548176
avg_h_dist,0.021213757494014523,0.0011295228873194054
corr_mat_diff,0.8369085619444577,0.019295359920527094
auroc,-0.021809936696300297,0.00745994817800543
avg_F1_diff,-0.049628247192832785,0.004676306571065432
avg_F1_diff_hout,0.02112144598909372,0.005617440184950413
eps_identif_risk,0.49185520361990953,0.005763584220071991
priv_loss_eps,0.29185520361990946,0.0046209018768528605
median_DCR,1.023195751813015,0.002856904178241285
mia_recall,0.3371014492753623,0.011586551420491444
mia_precision,0.5056314177602032,0.01224467120641088
