,mean,sem
pca_eigval_diff,0.03713652537979886,0.0020885637840719388
pca_eigvec_ang,0.5693459649673157,0.05795630954896398
avg_h_dist,0.01652786612299715,0.0011825561687147453
corr_mat_diff,0.6809293316165328,0.013223113426352035
auroc,0.004593116269252673,0.00948499420798425
avg_F1_diff,-0.07198381061218576,0.004101638442889242
avg_F1_diff_hout,0.0019486365812727794,0.004409565823989409
eps_identif_risk,0.5126696832579185,0.004382371045358643
priv_loss_eps,0.3089592760180995,0.004557349615208753
median_DCR,1.0195977044192153,0.0027933128586472545
mia_recall,0.35797101449275365,0.007399351497022529
mia_precision,0.5048152789944671,0.0031663021265261825
