,mean,sem
pca_eigval_diff,0.02739630052148432,0.0015765310908965918
pca_eigvec_ang,0.6336589048622546,0.06430797817930538
avg_h_dist,0.02048901364199128,0.0011137944544500336
corr_mat_diff,0.7497586625178758,0.022460558397123017
auroc,0.021874646817828663,0.00947241728723047
avg_F1_diff,-0.05457657473827391,0.0046065687002862675
avg_F1_diff_hout,0.021962994206457094,0.004538156476138607
eps_identif_risk,0.5914932126696831,0.00636950939135766
priv_loss_eps,0.3917647058823529,0.00527248030944907
median_DCR,1.0187881267060432,0.0025204412635754583
mia_recall,0.44434782608695655,0.005221862460626728
mia_precision,0.5064415514861497,0.0074932471888193375
