,mean,sem
pca_eigval_diff,0.03934447991620834,0.002344943629644126
pca_eigvec_ang,0.5445380523636152,0.0692016115293122
avg_h_dist,0.02111435438764432,0.0009091653727619859
corr_mat_diff,0.7968961111230544,0.01808691425458491
auroc,0.016153563397881616,0.009403257290249682
avg_F1_diff,-0.0653998506722556,0.0038790555142284365
avg_F1_diff_hout,0.01539165481412832,0.0039019666686145728
eps_identif_risk,0.5809049773755655,0.00476669146282381
priv_loss_eps,0.3857013574660634,0.004109212960207012
median_DCR,1.0232313417530559,0.0026737773484445198
mia_recall,0.4211594202898551,0.008674692937305377
mia_precision,0.5243214187694447,0.00893021203087255
