,mean,sem
pca_eigval_diff,0.04168948542681871,0.0019925369639287047
pca_eigvec_ang,0.6403303309993235,0.03833777853385104
avg_h_dist,0.023123940910105334,0.0012576073344774889
corr_mat_diff,0.8710690203837401,0.013215340255560468
auroc,0.022547635445362767,0.012113144000099368
avg_F1_diff,-0.05792445583827599,0.004933992029116118
avg_F1_diff_hout,0.017377340312182542,0.007269445443170553
eps_identif_risk,0.48769230769230776,0.003984756049055196
priv_loss_eps,0.2895927601809954,0.00384896239100732
median_DCR,1.0274185134123308,0.0049464828584182465
mia_recall,0.283768115942029,0.011557510377041792
mia_precision,0.49096770538245316,0.008197696083831738
