,mean,sem
pca_eigval_diff,0.031166541140933958,0.0015468573332601534
pca_eigvec_ang,0.4250210944672198,0.03479090672639986
avg_h_dist,0.017514786890283095,0.0016878724396500809
corr_mat_diff,0.6602170211765723,0.017099934483937446
auroc,0.00992332583241678,0.012481623896557574
avg_F1_diff,-0.07583814033989167,0.005646495772274897
avg_F1_diff_hout,0.003994861118285405,0.00581506804957649
eps_identif_risk,0.5055203619909502,0.003193030135118977
priv_loss_eps,0.3049773755656108,0.0027014917860920867
median_DCR,1.0171914759165028,0.003945280312905727
mia_recall,0.3168115942028986,0.008887313449969087
mia_precision,0.4890599465771789,0.007808707129564413
