,mean,sem
pca_eigval_diff,0.028622319188389804,0.0030087880959686385
pca_eigvec_ang,0.6679022294134939,0.054988940773068325
avg_h_dist,0.02253228318132868,0.0011319616328881567
corr_mat_diff,0.7364643516649312,0.021728293493608365
auroc,0.003692974744111138,0.009238338753899355
avg_F1_diff,-0.057390081034536175,0.002316306944964349
avg_F1_diff_hout,0.013811240424996466,0.005921647008282498
eps_identif_risk,0.592126696832579,0.0064473948572787015
priv_loss_eps,0.3916742081447963,0.006732880302336232
median_DCR,1.0151804231477333,0.0022893285985575336
mia_recall,0.4217391304347826,0.011652430277341001
mia_precision,0.49576834576069545,0.010036946124591424
