,mean,sem
pca_eigval_diff,0.03299982721541427,0.0014992415054318159
pca_eigvec_ang,0.5959725304730892,0.07317923465966626
avg_h_dist,0.021476252247408904,0.0012963550917376554
corr_mat_diff,0.7716894934710771,0.008641453771728917
auroc,0.02706208564163117,0.009997184489939102
avg_F1_diff,-0.056883709321216405,0.004999607383236299
avg_F1_diff_hout,0.015013026887523909,0.004800010127413556
eps_identif_risk,0.5828054298642532,0.005122878965997893
priv_loss_eps,0.3857013574660633,0.0054278528200024006
median_DCR,1.0235076353869832,0.005003043907318092
mia_recall,0.4481159420289855,0.011310539614811129
mia_precision,0.5266563618280967,0.0061223440872545205
