,mean,sem
pca_eigval_diff,0.04117496029819906,0.00301177951736731
pca_eigvec_ang,0.6322310863488572,0.07679407223788276
avg_h_dist,0.015316223223550317,0.0018865259716109117
corr_mat_diff,0.6155808046677537,0.027177124950671636
auroc,0.004450947831629692,0.009940404503235868
avg_F1_diff,-0.07475460300104443,0.0036483967762113373
avg_F1_diff_hout,-0.00021283292818063683,0.0019550448219773607
eps_identif_risk,0.557285067873303,0.006693570605012844
priv_loss_eps,0.3609049773755656,0.006627993999493411
median_DCR,0.9554831812212257,0.0036880954008476855
mia_recall,0.36579710144927535,0.010564588933593543
mia_precision,0.5093189955361404,0.007702442690259587
