,mean,sem
pca_eigval_diff,0.041386841558534136,0.002886195049861608
pca_eigvec_ang,0.7132527681394156,0.06292043613876812
avg_h_dist,0.01562544763945537,0.0009492475813750977
corr_mat_diff,0.6533334239438651,0.044444367428665914
auroc,-0.015892697369970055,0.009815585088056682
avg_F1_diff,-0.08353921978299202,0.003393931527145943
avg_F1_diff_hout,-0.007626500910768083,0.002668972212971841
eps_identif_risk,0.5751131221719457,0.005585583443517042
priv_loss_eps,0.3734841628959277,0.005115857728699481
median_DCR,0.9483241011642918,0.004023693542822228
mia_recall,0.3927536231884058,0.008155528027117937
mia_precision,0.5124853268158729,0.005911359217633807
