,mean,sem
pca_eigval_diff,0.03037641482973274,0.0021661180896718336
pca_eigvec_ang,0.7753333552160766,0.049898665395152815
avg_h_dist,0.014494762028849256,0.001276346253641942
corr_mat_diff,0.5311903719848657,0.017725765049393546
auroc,-0.009816095100185968,0.0092764587072345
avg_F1_diff,-0.0890082121452057,0.002837481670547893
avg_F1_diff_hout,-0.007976284877461557,0.0032502988337065
eps_identif_risk,0.5829864253393664,0.008499938408696929
priv_loss_eps,0.3827149321266968,0.008050908500687256
median_DCR,0.9343684174987843,0.0028500667877345157
mia_recall,0.4582608695652174,0.011188138800181692
mia_precision,0.5141377816989043,0.005615933573314894
