,mean,sem
pca_eigval_diff,0.012814674979158641,0.000814226053973331
pca_eigvec_ang,0.5877913956697024,0.07493717560598949
avg_h_dist,0.0060139592763501695,0.0004092097372110208
corr_mat_diff,0.40150227125977533,0.01100047839881352
auroc,-0.0011766747562201695,0.006399233751383606
avg_F1_diff,-0.08355710353153802,0.0015661507375346257
avg_F1_diff_hout,-0.008993931408375786,0.0036889734937137855
eps_identif_risk,0.6105882352941177,0.006069348614107541
priv_loss_eps,0.40742081447963796,0.005884750255974206
median_DCR,0.9801091820840704,0.001747158872636628
mia_recall,0.5081159420289855,0.003642140449269714
mia_precision,0.5129330113215677,0.0039024009808804844
