,mean,sem
pca_eigval_diff,0.26355069090097116,0.01905195020921071
pca_eigvec_ang,0.798516081757216,0.048897370137607574
avg_h_dist,0.13012200962802462,0.0074055046559819695
corr_mat_diff,1.8391843300174657,0.2061709503504172
auroc,0.021261610991294234,0.008010966276266589
avg_F1_diff,-0.17007599640846716,0.0385599237169985
avg_F1_diff_hout,-0.07153286762188334,0.032585834393882546
eps_identif_risk,0.1862443438914027,0.032928908925190445
priv_loss_eps,0.10877828054298641,0.02166567835087287
median_DCR,1.3776394762557753,0.041667537971183714
mia_recall,0.006086956521739131,0.0019539853542180374
mia_precision,0.29333333333333333,0.0669991708074726
