,mean,sem
pca_eigval_diff,0.03087213945491906,0.0015140909278380144
pca_eigvec_ang,0.7035423409663661,0.04909002874182194
avg_h_dist,0.18861839432862243,0.0019505848078781927
corr_mat_diff,2.459092812435089,0.003832883865642391
auroc,-0.0005435887064674406,0.010558928903901872
avg_F1_diff,-0.3115073317090759,0.025909685191951127
avg_F1_diff_hout,-0.2260054728016149,0.018766713599525454
eps_identif_risk,0.5555656108597284,0.007321621816258081
priv_loss_eps,0.3628054298642534,0.006656284784936265
median_DCR,1.8687035837592263,0.009189886507385362
mia_recall,0.008115942028985508,0.002017450533122812
mia_precision,0.29833333333333334,0.05585751273011591
