,mean,sem
pca_eigval_diff,0.2812173468461621,0.01959687997447247
pca_eigvec_ang,0.742196730122753,0.08768720299546257
avg_h_dist,0.20896051532058632,0.005612175760596731
corr_mat_diff,2.886076417021524,0.10639255579671822
auroc,0.005793179884089034,0.010177430849496677
avg_F1_diff,-0.2616023689996294,0.01756905447815336
avg_F1_diff_hout,-0.19980346290258147,0.011466906469275255
eps_identif_risk,0.03855203619909502,0.007598217926031582
priv_loss_eps,0.014751131221719454,0.003426321842691565
median_DCR,1.8920723034956062,0.021814163042213557
mia_recall,0.0028985507246376808,0.0007484025789772786
mia_precision,0.18000000000000002,0.04898979485566356
