,mean,sem
pca_eigval_diff,0.24803426786948507,0.020942339490226343
pca_eigvec_ang,0.7610379859141437,0.05230966002575511
avg_h_dist,0.20947876202039417,0.004345432818137414
corr_mat_diff,2.8540635760515243,0.050274939172286245
auroc,0.010504343965518265,0.011294819610833307
avg_F1_diff,-0.23031251700145589,0.03106244837851946
avg_F1_diff_hout,-0.13921362846694224,0.02986576946564406
eps_identif_risk,0.029773755656108597,0.0037104072398190043
priv_loss_eps,0.006425339366515836,0.001708839702958497
median_DCR,1.924220899474686,0.01370811352588689
mia_recall,0.0020289855072463765,0.0011472794286993156
mia_precision,0.12,0.06110100926607787
