,mean,sem
pca_eigval_diff,0.04601887234496644,0.0021975307713403493
pca_eigvec_ang,0.6391644027785613,0.09624638548684988
avg_h_dist,0.01586921980530702,0.0010097531835481918
corr_mat_diff,0.689707940704527,0.05082132329666494
auroc,-0.002714907146725265,0.01047621979256012
avg_F1_diff,-0.08042692082732174,0.0040096776460546435
avg_F1_diff_hout,-0.0093981242464324,0.0020335217995233823
eps_identif_risk,0.5575565610859728,0.0062034055613320324
priv_loss_eps,0.35819004524886877,0.0057597147438251
median_DCR,0.9544793821498795,0.0053156135886772175
mia_recall,0.3944927536231884,0.013789372522259037
mia_precision,0.5237120347708868,0.009838327285451053
