,mean,sem
pca_eigval_diff,0.04766548569631335,0.0029896428047108355
pca_eigvec_ang,0.5753645999393542,0.052573451080130444
avg_h_dist,0.01559970869045281,0.0011123888601902463
corr_mat_diff,0.644970005891419,0.032145751113783136
auroc,-0.0012853122606910294,0.010720232693729431
avg_F1_diff,-0.08686357920848775,0.0033236551383600053
avg_F1_diff_hout,-0.008845911713456243,0.0024091520956453596
eps_identif_risk,0.5589140271493211,0.004357277848631741
priv_loss_eps,0.3611764705882353,0.003842928881882398
median_DCR,0.9484856079104663,0.004424821360616387
mia_recall,0.3895652173913044,0.014647801861447134
mia_precision,0.5277265379850085,0.007706170220186729
