,mean,sem
pca_eigval_diff,0.2274919239159346,0.03322839714611947
pca_eigvec_ang,0.6570980577956711,0.06557967689743509
avg_h_dist,0.13587959048703374,0.008008180246061031
corr_mat_diff,1.6594287813261055,0.21654715409022451
auroc,0.03067287580545162,0.00999298945107758
avg_F1_diff,-0.1405733047423665,0.03412198546145701
avg_F1_diff_hout,-0.062249330852824636,0.03286829932073244
eps_identif_risk,0.22398190045248864,0.03242442713581571
priv_loss_eps,0.1292307692307692,0.019833393538319456
median_DCR,1.3311345603546505,0.05550570877113173
mia_recall,0.012753623188405797,0.004238012019219577
mia_precision,0.36,0.0819454802194426
