,mean,sem
pca_eigval_diff,0.03852356855617515,0.0018208490545051042
pca_eigvec_ang,0.6104449180119885,0.0651768039081872
avg_h_dist,0.013676710849713562,0.0012827518696195124
corr_mat_diff,0.5523132070450301,0.019113195414192232
auroc,0.010768781933554716,0.016533553455235588
avg_F1_diff,-0.07684475221704216,0.0033731145728910956
avg_F1_diff_hout,-0.0009811245673801137,0.002484902488044997
eps_identif_risk,0.5829864253393664,0.0032428005189446
priv_loss_eps,0.386606334841629,0.0030370347990716644
median_DCR,0.924875682205513,0.0029393366405531304
mia_recall,0.4730434782608695,0.009504025219213867
mia_precision,0.5399266750540808,0.007962057225563821
