,mean,sem
pca_eigval_diff,0.020138517448753692,0.0012355267584627356
pca_eigvec_ang,0.30464522173129127,0.02551393965518689
avg_h_dist,0.006217689657661507,0.0003774468364382867
corr_mat_diff,0.3899907298664404,0.013016639312372279
auroc,0.031031883730747417,0.010473954896532875
avg_F1_diff,-0.08540610368863469,0.0021969978755496155
avg_F1_diff_hout,-0.006970811251630377,0.003268732349220942
eps_identif_risk,0.6048868778280543,0.0035210223737954464
priv_loss_eps,0.40470588235294114,0.003694062024697832
median_DCR,0.9593754460712678,0.0023945956311431575
mia_recall,0.5260869565217392,0.007536851207055609
mia_precision,0.5288385427337683,0.008366089200736998
