,mean,sem
pca_eigval_diff,0.021003156073303407,0.0020187892365725814
pca_eigvec_ang,0.6847424792413058,0.08011269714332207
avg_h_dist,0.012901525960746365,0.0010270717267741503
corr_mat_diff,0.7490305244144688,0.017997413000806525
auroc,0.021944665183301564,0.004339203567317756
cls_F1_diff,0.016291118033491276,0.002009612738358091
cls_F1_diff_hout,0.020439091534754664,0.0022153370508662317
eps_identif_risk,0.48742081447963803,0.005687214616366563
priv_loss_eps,0.2854298642533936,0.005301310467864537
median_DCR,0.9810271988517792,0.0029575088342330726
mia_recall,0.3269565217391304,0.011216055544681316
mia_precision,0.5116807108498722,0.009855988346404628
