,mean,sem
pca_eigval_diff,0.01363856076869625,0.0013936116649977978
pca_eigvec_ang,0.5920590149486747,0.08188829181607211
avg_h_dist,0.009861626653650622,0.0004790343214239447
corr_mat_diff,0.40153096166136953,0.006635271306074195
auroc,0.03010544765279615,0.0058597375261022116
cls_F1_diff,0.016785464400513088,0.0014291002220955644
cls_F1_diff_hout,0.010931722961389148,0.0017415176411588607
eps_identif_risk,0.6106787330316742,0.007521905218948392
priv_loss_eps,0.40570135746606323,0.006844472051123855
median_DCR,0.9782237611183622,0.0015161604416513367
mia_recall,0.5075362318840579,0.008472168420845558
mia_precision,0.5103535249266057,0.004799799351849885
