,mean,sem
pca_eigval_diff,0.0378925717151144,0.0028217052607136107
pca_eigvec_ang,0.56201735061366,0.08070303485615139
avg_h_dist,0.01498570248233698,0.0012805754351433115
corr_mat_diff,0.5933784250287094,0.021877411785479375
auroc,0.013939409706455186,0.011571175576599924
avg_F1_diff,-0.07788162547973922,0.0033233074918581616
avg_F1_diff_hout,-0.007692384530238683,0.0014735088983147493
eps_identif_risk,0.48859728506787337,0.004874292492124973
priv_loss_eps,0.29140271493212666,0.004773463757430466
median_DCR,0.9490637288615147,0.004262701368461377
mia_recall,0.3272463768115942,0.008214833445024147
mia_precision,0.5091763983763108,0.009404958731511944
