,mean,sem
pca_eigval_diff,0.03916109851913911,0.002244845864895853
pca_eigvec_ang,0.6708227865006655,0.049928322154642504
avg_h_dist,0.012824895264268884,0.0011982194471610592
corr_mat_diff,0.5986647692480729,0.012481180777423976
auroc,0.031021866391184594,0.007082490771937644
cls_F1_diff,0.023426403435604863,0.0024611371598539317
cls_F1_diff_hout,0.020513274726659696,0.004130331521607049
eps_identif_risk,0.44886877828054306,0.012292007869136595
priv_loss_eps,0.26,0.010893236389883569
median_DCR,0.9735171234061966,0.0024481291291006658
mia_recall,0.26260869565217393,0.012891944969368834
mia_precision,0.4919668620630979,0.008696993208210317
