,mean,sem
pca_eigval_diff,0.27995990019091793,0.010219787178936688
pca_eigvec_ang,0.8019923912650422,0.08138643113172803
avg_h_dist,0.05395376801512859,0.0037164535336132102
corr_mat_diff,1.5432790564628727,0.11748891290554506
auroc,0.019183791797428157,0.003032141920465651
cls_F1_diff,0.026125727072398484,0.004600080031490675
cls_F1_diff_hout,0.0409515833812306,0.005501932505176754
eps_identif_risk,0.03221719457013575,0.008489654666371712
priv_loss_eps,0.010497737556561085,0.0035054815194772732
median_DCR,1.0033613049149706,0.028053101596396436
mia_recall,0.003768115942028986,0.0016196188033082328
mia_precision,0.13999999999999999,0.05958705634574187
