,mean,sem
pca_eigval_diff,0.03943787608040138,0.0019671470852964347
pca_eigvec_ang,0.5412232867007042,0.044708493010666026
avg_h_dist,0.015933048384392343,0.0006173143627919491
corr_mat_diff,0.6045344733267395,0.008175483583506964
auroc,0.02511334204516023,0.004545752445224884
cls_F1_diff,0.1424224462472759,0.001771382492429657
cls_F1_diff_hout,0.017494583421130826,0.002527517564819335
eps_identif_risk,0.5011764705882353,0.004893576772704351
priv_loss_eps,0.2996380090497738,0.005515414542393183
median_DCR,0.9181148739463983,0.0034016480037889346
mia_recall,0.3405797101449276,0.007923294428433198
mia_precision,0.5063480688431066,0.006507135013079939
