,mean,sem
pca_eigval_diff,0.04040367495690809,0.0020901673274873497
pca_eigvec_ang,0.6603225449496918,0.06445747086249057
avg_h_dist,0.016663957780904785,0.0012162502625307108
corr_mat_diff,0.5827798245206545,0.021567669547471375
auroc,0.028458816015634204,0.005357394076135898
cls_F1_diff,0.13903198601967515,0.0028527256662735185
cls_F1_diff_hout,0.021531827950499884,0.0016356042399280847
eps_identif_risk,0.48769230769230776,0.004281966011231154
priv_loss_eps,0.2905882352941176,0.004806614199055025
median_DCR,0.9277973265676422,0.0031766483832667714
mia_recall,0.3084057971014492,0.008480428312074084
mia_precision,0.501994797269963,0.013470137648727249
