,mean,sem
pca_eigval_diff,0.2721855236704851,0.02526192689099491
pca_eigvec_ang,0.798119860459997,0.05107508393550121
avg_h_dist,0.05443615774881085,0.003393184012272759
corr_mat_diff,1.53039711567467,0.07620740854135762
auroc,0.03329985723451635,0.01714218104864502
avg_F1_diff,-0.07352953754724934,0.002737188875913692
avg_F1_diff_hout,0.013551189206339636,0.004096364094736923
eps_identif_risk,0.040542986425339364,0.004465777827739862
priv_loss_eps,0.015656108597285067,0.003321128602266272
median_DCR,0.9298207241645929,0.019754030190086345
mia_recall,0.010144927536231883,0.0022965921399042922
mia_precision,0.4050000000000001,0.08112062349091971
