,mean,sem
avg_h_dist,0.06966046584150783,0.002683659927904525
corr_mat_diff,1.3202593489755743,0.09047631640959246
auroc,0.03942528220937312,0.0069458405113080515
cls_F1_diff,0.02354932389759145,0.004164139800493626
cls_F1_diff_hout,0.04864317020931992,0.008505716892609276
eps_identif_risk,0.02977375565610859,0.007723239498219509
priv_loss_eps,0.010407239819004524,0.003291403806998249
median_DCR,0.9624304735634853,0.027904904983078026
mia_recall,0.00608695652173913,0.0018559780398356082
mia_precision,0.3166666666666667,0.07290277645477443
