,mean,sem
avg_h_dist,0.018779593124715395,0.0011067353574684734
corr_mat_diff,0.6841278967710699,0.023554512777732302
auroc,0.02392695898377717,0.006535722567112037
cls_F1_diff,0.02857975971454722,0.0038395950109766075
cls_F1_diff_hout,0.028451257983964206,0.0024937060070714767
eps_identif_risk,0.4471493212669683,0.009710847207979363
priv_loss_eps,0.2636199095022624,0.007011287516924204
median_DCR,0.9498898860634629,0.0048431852815821385
mia_recall,0.2739130434782609,0.009168567967136118
mia_precision,0.5070317969215614,0.01020307493089771
