,mean,sem
avg_h_dist,0.06861979267459976,0.0038257501546926412
corr_mat_diff,1.738413490325668,0.09537389464344001
auroc,0.032767687909733376,0.007563456850114144
cls_F1_diff,0.032598938765573446,0.005227211566966148
cls_F1_diff_hout,0.04761095343522324,0.008917127949151485
eps_identif_risk,0.03294117647058824,0.00662304957955909
priv_loss_eps,0.013031674208144797,0.0026026732561234382
median_DCR,0.9393005501184956,0.018345319227610256
mia_recall,0.00927536231884058,0.0021947471867827142
mia_precision,0.42833333333333334,0.08875163013630707
