dataset,avg_h_dist,corr_mat_diff,auroc,cls_F1_diff,cls_F1_diff_hout,eps_identif_risk,priv_loss_eps,median_DCR,mia_recall,mia_precision
dpgan,0.2891154447546269,,0.9090909090909091,0.692790884756586,0.783975405399554,0.0,0.0,8.488487624566687,0.0,0.0
dpgan,0.2255602099754426,,0.4179292929292928,0.5194368586758833,0.6487466487466488,0.015873015873015872,0.015873015873015872,7.168572626384803,0.0,0.0
dpgan,0.2793629321708468,,0.8964646464646464,0.5606007088707952,0.7291967291967292,0.0,0.0,7.978611220058066,0.025,0.2
dpgan,0.24272175370097793,,0.6136363636363636,0.5688011040067444,0.5925925925925926,0.0,0.0,8.330972617816018,0.0,0.0
dpgan,0.2950265775424977,,0.23989898989898983,0.42413999056556867,0.4821736063046887,0.007936507936507936,0.007936507936507936,10.981237806397129,0.0,0.0
dpgan,0.25717039368848504,,0.8194444444444444,0.6607354649568283,0.7265531295223766,0.007936507936507936,0.007936507936507936,12.319445084706482,0.075,0.4
dpgan,0.29010646345157914,,0.14267676767676762,0.4251009207493539,0.47040753127709645,0.0,0.0,8.732688498050228,0.0,0.0
dpgan,0.25864333717323595,,0.3295454545454545,0.6679948050047699,0.7096077533577533,0.0,-0.007936507936507936,9.40797348564037,0.0,0.0
dgms,0.14992529539685934,5.9410760967027105,0.0,0.2935493078748249,0.3666666666666667,0.007936507936507936,0.0,6.738397211084367,0.0,0.0
dgms,0.18101453548578944,6.718095539307665,0.0,0.13530852889016848,0.033333333333333326,0.007936507936507936,0.007936507936507936,8.925351433988562,0.0,0.0
dgms,0.17541084237436053,6.206851365642124,0.0,0.32760730195680166,0.47453625103824393,0.007936507936507936,0.007936507936507936,8.474673786794746,0.0,0.0
dpgan,0.25633026503139283,,0.9166666666666666,0.7812220262027832,0.8118206118206118,0.007936507936507936,0.007936507936507936,7.091966537139007,0.0,0.0
dpgan,0.2529815845664239,,0.6708754208754208,0.7181544784931765,0.7587741979382846,0.0,0.0,10.813677982430399,0.075,0.6
dgms,0.20900819726186856,7.262067077839379,0.0,0.47707979023222113,0.34972843248705315,0.007936507936507936,0.007936507936507936,9.139767234586916,0.0,0.0
dgms,0.09890917573512656,5.793499672384916,0.0,0.006533776301218097,0.0,0.007936507936507936,0.007936507936507936,6.1575145720466145,0.0,0.0
datasynthesizer,0.020058788020473922,2.5439804830550914,0.0,0.027764469312817036,0.0,0.6031746031746031,0.40476190476190477,0.5471615638063602,0.55,0.49071428571428577
dgms,0.16391903714545564,6.347420834652962,0.0,0.1028476672099366,0.10166177908113391,0.007936507936507936,0.007936507936507936,8.131759617698437,0.025,0.1
datasynthesizer,0.017291457990021762,2.295847710856018,0.0,0.011731281498723323,0.0,0.6666666666666666,0.45238095238095233,0.48721250596986954,0.425,0.4797619047619047
datasynthesizer,0.033162772568536586,2.6154568976743615,0.0,0.0041874739549157824,0.00885935769656701,0.6507936507936508,0.46031746031746035,0.5270749516826405,0.475,0.5207142857142857
dgms,0.1860744273009789,6.66726006708252,0.0,0.07525673065579325,0.05834165834165836,0.007936507936507936,0.007936507936507936,8.9582960898259,0.0,0.0
dgms,0.20739314348460597,7.039515291735415,0.0,0.265669876194801,0.19047619047619047,0.007936507936507936,0.007936507936507936,8.925351433988562,0.025,0.2
datasynthesizer,0.020549362968707213,2.3232470035766277,0.0,0.0067515765190183374,0.0,0.6587301587301587,0.4523809523809524,0.594880567170824,0.525,0.5465934065934066
dgms,0.041660671242646725,5.554247466448521,0.0,0.007253107508354173,0.0,0.007936507936507936,0.007936507936507936,3.860096827471529,0.025,0.2
datasynthesizer,0.03427801010678811,2.1650863212501417,0.0,0.05779605436709068,0.030037546933667086,0.6904761904761905,0.5079365079365079,0.47691757426452974,0.575,0.5590909090909091
dgms,0.1582669198097516,6.185964088662226,0.0,0.05054358202545356,0.00885935769656701,0.007936507936507936,0.007936507936507936,8.238694107238647,0.0,0.0
datasynthesizer,0.035123264893190724,2.4699357331908995,0.0,0.0031884459210040905,0.0,0.6190476190476191,0.4206349206349207,0.47040529119629915,0.45,0.42682539682539683
datasynthesizer,0.016681401609205046,2.0133976287887148,0.0,0.013894433661875566,0.018713450292397682,0.6190476190476191,0.4444444444444445,0.608908019832667,0.45,0.4898051948051948
datasynthesizer,0.018218182446367994,3.055935223200952,0.0,0.002314976297534521,0.0,0.6349206349206349,0.4444444444444444,0.6832761679133948,0.45,0.4666666666666666
datasynthesizer,0.02650840614716959,1.9733866335998689,0.0,0.011731281498723323,0.0,0.6825396825396826,0.46031746031746035,0.4844904625967817,0.5,0.48388888888888887
datasynthesizer,0.02282463714818969,2.477639923468488,0.0,0.014112233879675695,0.0,0.6349206349206349,0.4603174603174603,0.5476879152526274,0.35,0.39999999999999997
