,mean,sem
avg_h_dist,0.013653332146704611,0.000805415280147833
corr_mat_diff,0.7813424394677151,0.018984906080128757
auroc,0.03615094291230655,0.009070615982939161
cls_F1_diff,0.017684505197079703,0.0018904503260180655
cls_F1_diff_hout,0.019554306896391198,0.002595196654279157
eps_identif_risk,0.4960180995475113,0.0028504792160462126
priv_loss_eps,0.29429864253393656,0.0024758111045168237
median_DCR,0.9821371712387235,0.0033024536997238716
mia_recall,0.3620289855072463,0.007066363093034408
mia_precision,0.5246941761291992,0.009297367406640148
