,mean,sem
avg_h_dist,0.014063662691150855,0.0010074154473713709
corr_mat_diff,0.7453764302312106,0.017901329163235568
auroc,0.04240270882316337,0.01203771819478901
cls_F1_diff,0.01642325403529057,0.002299562793110473
cls_F1_diff_hout,0.017315281807600995,0.0026219164042484843
eps_identif_risk,0.4778280542986425,0.007692011942381886
priv_loss_eps,0.278552036199095,0.006716642123773183
median_DCR,0.9811068005327174,0.002570314605696219
mia_recall,0.3008695652173913,0.00968885112017134
mia_precision,0.5092236897720221,0.00766512596075307
